line,name
수인선,소래포구
수인선,남동인더스파크
수인선,인천
수인선,인천논현
수인선,달월
수인선,인하대
수인선,호구포
수인선,신포
수인선,송도
안산선,반월
안산선,대야미
안산선,오이도
안산선,수리산
안산선,신길온천
안산선,고잔
안산선,한대앞
안산선,중앙
안산선,산본
안산선,초지
안산선,상록수
안산선,안산
안산선,정왕
우이신설선,가오리
우이신설선,화계
우이신설선,성신여대입구(돈암)
우이신설선,북한산보국문
우이신설선,보문
우이신설선,정릉
우이신설선,북한산우이
우이신설선,솔샘
우이신설선,4.19민주묘지
우이신설선,신설동
우이신설선,삼양
우이신설선,삼양사거리
우이신설선,솔밭공원
일산선,마두
일산선,원흥
일산선,대곡
일산선,백석
일산선,주엽
일산선,화정
일산선,원당
일산선,삼송
일산선,정발산
일산선,대화
장항선,배방
장항선,쌍용(나사렛대)
장항선,아산
장항선,봉명
장항선,신창(순천향대)
장항선,온양온천
중앙선,양평
중앙선,아신
중앙선,양정
중앙선,오빈
중앙선,지평
중앙선,국수
중앙선,상봉(시외버스터미널)
중앙선,운길산
중앙선,원덕
중앙선,도심
중앙선,망우
중앙선,신원
중앙선,중랑
중앙선,양수
중앙선,덕소
중앙선,도농
중앙선,구리
중앙선,회기
중앙선,용문
중앙선,팔당
중앙선,양원
9호선,언주
9호선,종합운동장
9호선,삼성중앙
9호선,봉은사
9호선,선정릉
일산선,지축
