"동별(1)",동별(2),동별(3),2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"합계",중구,청구동,15799,0.34,46468,15587,0.34,45844,15555,0.34,45750,15233,0.34,44803,14999,0.34,44115,14844,0.34,43659,14515,0.34,42691,14281,0.34,42003,13818,0.34,40641.17647,13451,0.34,39562,13225,0.34,38897
"합계",중구,동화동,12085,0.26,46481,11904,0.26,45785,11683,0.26,44935,11642,0.26,44777,11348,0.26,43646,11219,0.26,43150,10995,0.26,42288,10827,0.26,41642,10433,0.26,40126.92308,10199,0.26,39227,10120,0.26,38923
"합계",용산구,소계,251925,21.87,11520,249914,21.87,11428,247909,21.87,11337,245102,21.87,11209,244444,21.87,11179,245090,21.87,11209,245185,21.87,11213,244645,21.87,11188,237285,21.8661452,10851.70696,233284,21.8676095,10668,227106,21.8675774,10386
"합계",용산구,후암동,20018,0.86,23277,19683,0.86,22887,19684,0.86,22888,19308,0.86,22451,18846,0.86,21914,18703,0.86,21748,18445,0.86,21448,18202,0.86,21165,17308,0.86,20125.5814,16812,0.86,19549,16462,0.86,19142
"합계",용산구,용산2가동,13546,1.96,6911,13330,1.96,6801,13106,1.96,6687,12746,1.96,6503,12355,1.96,6304,12107,1.96,6177,11836,1.96,6039,11272,1.96,5751,10775,1.96,5497.44898,10333,1.96,5272,10271,1.96,5240
"합계",용산구,남영동,8442,1.19,7094,8576,1.19,7207,8643,1.19,7263,8762,1.19,7363,8585,1.19,7214,8501,1.19,7144,8412,1.19,7069,8116,1.19,6820,7825,1.19,6575.630252,7552,1.19,6346,7347,1.19,6174
"합계",용산구,원효로2동,15811,0.71,22269,15671,0.71,22072,15709,0.71,22125,15512,0.71,21848,15233,0.71,21455,15064,0.71,21217,14718,0.71,20730,14331,0.71,20185,13875,0.71,19542.25352,13795,0.71,19430,13763,0.71,19385
"합계",용산구,효창동,11392,0.44,25891,11276,0.44,25627,9816,0.44,22309,9566,0.44,21741,9594,0.44,21805,9054,0.44,20577,10300,0.44,23409,10326,0.44,23468,10156,0.44,23081.81818,10888,0.44,24745,10811,0.44,24570
"합계",용산구,용문동,13034,0.28,46550,12994,0.28,46407,13027,0.28,46525,12862,0.28,45936,12759,0.28,45568,12757,0.28,45561,12587,0.28,44954,12455,0.28,44482,11985,0.28,42803.57143,11664,0.28,41657,11518,0.28,41136
"합계",용산구,이촌1동,28196,2.86,9859,28007,2.86,9793,29002,2.86,10141,29134,2.86,10187,28960,2.86,10126,29341,2.86,10259,29255,2.86,10229,28961,2.86,10126,26632,2.86,9311.888112,25707,2.86,8988,25513,2.86,8921
"합계",용산구,이촌2동,10054,1.22,8241,9800,1.22,8033,9663,1.22,7920,9380,1.22,7689,9229,1.22,7565,9090,1.22,7451,9005,1.22,7381,8808,1.22,7220,8374,1.22,6863.934426,8094,1.22,6634,7932,1.22,6502
"합계",용산구,이태원1동,9644,0.57,16919,9470,0.57,16614,9030,0.57,15842,8806,0.57,15449,8791,0.57,15423,9315,0.57,16342,9222,0.57,16179,8764,0.57,15375,8126,0.57,14256.14035,7947,0.57,13942,7799,0.57,13682
"합계",용산구,이태원2동,11859,0.86,13790,11550,0.86,13430,11154,0.86,12970,11004,0.86,12795,11014,0.86,12807,10927,0.86,12706,10811,0.86,12571,10795,0.86,12552,10604,0.86,12330.23256,10427,0.86,12124,10223,0.86,11887
"합계",용산구,서빙고동,14221,2.8,5079,14293,2.8,5105,14342,2.8,5122,14507,2.8,5181,14274,2.8,5098,14257,2.8,5092,14102,2.8,5036,14000,2.8,5000,13912,2.8,4968.571429,13458,2.8,4806,13141,2.8,4693
"합계",용산구,보광동,17961,0.71,25297,17665,0.71,24880,17289,0.71,24351,16988,0.71,23927,16541,0.71,23297,16124,0.71,22710,15862,0.71,22341,15531,0.71,21875,14708,0.71,20715.49296,14060,0.71,19803,12420,0.71,17493
"합계",용산구,청파동,23428,0.91,25745,22939,0.91,25208,22366,0.91,24578,21913,0.91,24080,21233,0.91,23333,20922,0.91,22991,20661,0.91,22704,20496,0.91,22523,20076,0.9,22306.66667,19833,0.9,22037,19616,0.91,21556
"합계",용산구,원효로1동,13004,0.59,22041,13547,0.59,22961,14330,0.59,24288,14717,0.59,24944,15266,0.59,25875,16034,0.59,27176,16630,0.59,28186,16730,0.59,28356,16577,0.59,28096.61017,17774,0.59,30125,17688,0.59,29980
"합계",용산구,한강로동,16277,2.9,5613,16491,2.9,5687,16424,2.9,5663,16463,2.9,5677,18059,2.9,6227,19209,2.9,6624,19635,2.9,6771,22097,2.9,7620,23411,2.9,8072.758621,22886,2.9,7892,22691,2.9,7824
"합계",용산구,한남동,25038,3.01,8318,24622,3.01,8180,24324,3.01,8081,23434,3.01,7785,23705,3.01,7875,23685,3.01,7869,23704,3.01,7875,23761,3.01,7894,22941,3.01,7621.594684,22054,3.01,7327,19911,3.01,6615
"합계",성동구,소계,306571,16.85,18190,303891,16.86,18028,305065,16.86,18093,307161,16.86,18218,312711,16.86,18551,316463,16.86,18771,308979,16.86,18327,300505,16.86,17822,292672,16.8598989,17359.0602,288234,16.820272,17136,284766,16.820149,16930
"합계",성동구,왕십리2동,17129,0.41,41778,16812,0.41,41005,16540,0.41,40341,16917,0.41,41261,18185,0.41,44354,18148,0.41,44263,17744,0.41,43278,17416,0.41,42478,16819,0.41,41021.95122,16688,0.41,40702,16481,0.41,40198
"합계",성동구,마장동,25487,1.06,24044,25148,1.06,23725,25060,1.06,23642,24569,1.06,23178,24193,1.06,22824,24157,1.06,22790,24035,1.05,22890,23459,1.05,22342,22991,1.05,21896.19048,22706,1.05,21625,22233,1.05,21174
