NO,contract_date,apt_name,exclusive_area_m2,floor,construction_year,latitude,longitude,price_man_won
2023_00083,2023-12-30,고덕그라시움,59.785,17,2019,37.5561770852501,127.159176546352,129000
2023_00084,2023-12-30,올림픽선수기자촌3단지,135.99,5,1988,37.5166909917264,127.137712375583,260000
2023_00085,2023-12-30,마포웨스트리버태영데시앙,84.793,10,2019,37.5500177865994,126.930854061378,131000
2023_00086,2023-12-30,마포래미안푸르지오3단지,114.7267,5,2014,37.5524339233654,126.95422378666,187000
2023_00087,2023-12-30,마곡수명산파크4단지,84.76,6,2008,37.5520478232459,126.822560908166,84500
2023_00088,2023-12-30,래미안베라힐즈,84.93,12,2019,37.6028449679876,126.935955809882,113200
2023_00089,2023-12-30,래미안공덕5차,84.871,5,2011,37.5502187192036,126.953735814082,153500
2023_00090,2023-12-30,상계주공16(고층),59.39,11,1988,37.6704100337173,127.052730034287,47500
2023_00091,2023-12-30,상계주공16(고층),59.39,10,1988,37.6704100337173,127.052730034287,49000
2023_00092,2023-12-30,상계주공2(고층),32.39,9,1987,37.6504272951639,127.059109039116,37000
2023_00093,2023-12-30,청우씨티아파트,65.13,5,2004,37.6222711150201,127.072718992829,32000
2023_00094,2023-12-30,공릉동한보에센시티아파트,59.4,16,2000,37.6279055006749,127.080130818232,49700
2023_00095,2023-12-30,상계주공5(저층),31.98,1,1987,37.6529887282798,127.063558586941,44000
2023_00096,2023-12-30,e편한세상염창,84.9529,7,2019,37.5485922640411,126.870242587286,120700
2023_00097,2023-12-30,두산,59.96,6,1999,37.5597234797417,126.950732370424,74800
2023_00098,2023-12-30,신촌푸르지오,84.9953,15,2015,37.559690000903,126.952811165218,132000
2023_00099,2023-12-30,주공3,58.14,7,1995,37.5610800692067,126.840847656959,73000
2023_00100,2023-12-30,수정,48.87,2,1987,37.5131514595831,126.841765004909,42500
2023_00101,2023-12-30,목동센트럴푸르지오,84.9914,9,2015,37.5239812598499,126.876796062529,175000
2023_00102,2023-12-30,마곡힐스테이트,59.97,15,2017,37.5646967575896,126.818432855066,96000
2023_00103,2023-12-30,가양2단지(성지),39.6,10,1992,37.5710135675057,126.84658518265,59900
2023_00104,2023-12-30,가양강나루현대,59.76,7,1999,37.5603956962784,126.857362635565,81700
2023_00105,2023-12-30,홍제삼성래미안,32.76,9,2001,37.5781824961904,126.951950212766,49000
2023_00106,2023-12-30,홍제현대,75.15,15,1992,37.5899000753645,126.940985283729,73500
2023_00107,2023-12-30,청구1차,84.78,15,1994,37.5812615487925,126.952834460777,84000
2023_00108,2023-12-30,현대,59.54,1,2000,37.5703258450968,126.909115047523,58000
2023_00109,2023-12-30,우장산힐스테이트,59.98,15,2005,37.5570784073479,126.83808109977,99000
2023_00110,2023-12-30,DMC센트럴아이파크,84.95,5,2018,37.5780547612815,126.92101916232,106000
2023_00111,2023-12-30,우물골2단지두산위브(223~244동)BL2-7,101.95,3,2010,37.6351965318796,126.926054239126,91000
2023_00112,2023-12-29,우장산롯데캐슬,134.99,3,2003,37.5563945811198,126.849546722022,117000
2023_00113,2023-12-29,상암월드컵파크3단지,84.84,3,2003,37.5727723522692,126.890087309482,103000
2023_00114,2023-12-29,DMC파크뷰자이4단지,84.968,7,2015,37.5744019902031,126.917907814167,109400
2023_00115,2023-12-29,대우푸르지오,59.584,10,2002,37.5620932194086,126.928576405497,75500
2023_00116,2023-12-29,연희파크푸르지오,84.1861,10,2018,37.5751372720408,126.927510707223,94000
2023_00117,2023-12-29,불광롯데캐슬,59.99,2,2018,37.6131320544168,126.932470564865,72700
2023_00118,2023-12-29,상계2차중앙하이츠,59.82,5,1998,37.654494616907,127.068103349446,56700
2023_00119,2023-12-29,한강타운,84.99,11,1993,37.5712114625604,126.843591958573,105500
2023_00120,2023-12-29,마포래미안푸르지오2단지,114.588,19,2014,37.5524339233654,126.95422378666,217500
2023_00121,2023-12-29,청암2단지,49.77,8,2001,37.6625064307881,127.078111067764,40500
2023_00122,2023-12-29,금호타운,84.84,16,1999,37.5560551963082,126.865307815313,84500
2023_00123,2023-12-29,성산시영(대우),50.03,3,1986,37.5697004142613,126.901417423608,70000
2023_00124,2023-12-29,신월시영,43.2,11,1988,37.5184159016956,126.835157228112,38500
2023_00125,2023-12-29,공덕1삼성래미안,84.94,21,1999,37.5459150093178,126.950622303108,130000
2023_00126,2023-12-29,하계2현대,75.35,1,1997,37.6446123831858,127.071720310763,64500
2023_00127,2023-12-29,삼성광장2,58.62,13,1989,37.5427283212368,127.101793894122,85000
2023_00128,2023-12-29,에스케이북한산시티,84.71,4,2004,37.6176383628418,127.010599691076,63000
2023_00129,2023-12-29,꿈의숲해링턴플레이스,46.68,8,2019,37.6169370292441,127.034610388171,55700
2023_00130,2023-12-29,미아동부센트레빌,59.96,5,2006,37.6138958322777,127.026223409236,72000
2023_00131,2023-12-29,남산타운,84.88,13,2002,37.5471505540187,127.005706247221,129000
2023_00132,2023-12-29,베라체캠퍼스,24.011,14,2013,37.5908011291028,127.056117386349,23900
2023_00133,2023-12-29,삼성래미안,59.94,1,2001,37.5386030532321,126.954943490673,100500
2023_00134,2023-12-29,텐즈힐(1단지),84.88,9,2015,37.5691641596929,127.02634785313,149000
2023_00135,2023-12-29,대상타운현대아파트,60.0,19,2001,37.6651079698533,127.046910486399,67000
2023_00136,2023-12-29,한남하이츠,89.19,11,1982,37.5395083271239,127.013812696365,180000
2023_00137,2023-12-29,대상타운현대아파트,133.97,10,2001,37.6651079698533,127.046910486399,103000
2023_00138,2023-12-29,대상타운현대아파트,60.0,19,2001,37.6651079698533,127.046910486399,67000
2023_00139,2023-12-29,아스하임(111-102),14.11,16,2018,37.5474599984908,127.072065060154,19500
2023_00140,2023-12-29,래미안월곡,84.589,13,2006,37.6099470914336,127.036913604861,85500
2023_00141,2023-12-29,동구햇살,84.85,1,2004,37.6133074065466,127.074246195371,52000
2023_00142,2023-12-29,아스하임(111-102),14.11,10,2018,37.5474599984908,127.072065060154,19500
2023_00143,2023-12-29,화성.두산아파트,66.96,5,1995,37.6138589784362,127.094322735978,59500
2023_00144,2023-12-29,현대,59.94,20,1998,37.5696275040008,127.041524043963,82500
2023_00145,2023-12-29,동부센트레빌,100.92,17,2001,37.5211131374957,126.966804389151,227000
2023_00146,2023-12-29,래미안수유,59.88,16,2001,37.6444547640043,127.018655185471,53000
2023_00147,2023-12-29,롯데캐슬,59.94,23,2008,37.5708105464699,127.021463886656,72000
2023_00148,2023-12-29,힐스테이트서울숲리버,59.98,5,2018,37.5464525799903,127.025765458515,133000
2023_00149,2023-12-29,한신,68.13,4,1998,37.5944725333435,127.012706037821,60800
2023_00150,2023-12-29,한진(609-1),59.58,20,1998,37.5944725333435,127.012706037821,53000
2023_00151,2023-12-29,보문파크뷰자이,84.99,5,2017,37.5828731138796,127.017891118296,107000
2023_00152,2023-12-29,길음뉴타운데시앙,59.42,11,1999,37.6061501548552,127.01592319515,51000
2023_00153,2023-12-29,대림강변타운,84.42,5,2001,37.5543398304805,127.034884152518,120000
2023_00154,2023-12-29,삼익세라믹,58.77,2,1988,37.6578378451702,127.033787334216,37000
2023_00155,2023-12-29,신영체르니,39.1,4,2002,37.4790137073925,127.041497933378,53000
2023_00156,2023-12-29,서초현대,84.78,13,1999,37.4909812977515,127.019834325854,170000
2023_00157,2023-12-29,래미안퍼스티지,198.04,22,2009,37.5023902684594,126.995965286053,775000
2023_00158,2023-12-29,여의도더리브스타일,14.8376,12,2020,37.5176921431262,126.912647744146,19000
2023_00159,2023-12-29,중앙하이츠빌,59.9388,4,2003,37.4998071623847,126.949902106763,84100
2023_00160,2023-12-29,레이크팰리스,59.97,24,2006,37.5075341594038,127.093214315872,174000
2023_00161,2023-12-29,오류동삼전솔하임,15.943,6,2020,37.4956124499427,126.841791274363,13500
2023_00162,2023-12-29,대림현대,59.76,4,1999,37.4930546699883,126.908209594464,57900
2023_00163,2023-12-29,역삼푸르지오,84.9097,13,2006,37.4982223264358,127.047395413884,238000
2023_00164,2023-12-29,동양파라곤,171.1005,10,2006,37.5213802819212,127.054548840417,545000
2023_00165,2023-12-29,한신아파트,89.46,6,1991,37.4553912730949,126.888877618767,61500
2023_00166,2023-12-29,고척파크푸르지오,59.89,10,2009,37.5088710450008,126.857986323802,71000
2023_00167,2023-12-29,삼성3차,84.78,8,2000,37.4975460793057,127.060155261056,160000
2023_00168,2023-12-29,주공아파트 5단지,81.75,9,1978,37.5131381759342,127.09304868009,252800
2023_00169,2023-12-29,동부,50.57,10,1993,37.4811549763764,126.928270805228,37600
2023_00170,2023-12-29,신길센트럴아이파크,59.97,10,2019,37.5040866208991,126.903502616521,102500
2023_00171,2023-12-29,신동아,104.7,3,1993,37.5101470412624,126.951490881181,100000
2023_00172,2023-12-29,노블씨티,111.28,3,2008,37.4926962367624,126.995610401506,165000
2023_00173,2023-12-29,한신아파트,89.46,5,1991,37.4553912730949,126.888877618767,59800
2023_00174,2023-12-29,신동아리버파크,59.67,14,2001,37.5070717430905,126.945718197277,80000
2023_00175,2023-12-29,여의도자이,210.38,21,2008,37.5181172905531,126.925195988034,392000
2023_00176,2023-12-29,남서울힐스테이트,59.817,2,2014,37.4479033151811,126.900722652942,70000
2023_00177,2023-12-29,성원,84.32,4,1994,37.5097308417301,126.925917819653,105500
2023_00178,2023-12-29,신림2차현대,84.6,11,1996,37.4844975229565,126.908897557162,68000
2023_00179,2023-12-29,올림픽선수기자촌2단지,83.06,16,1988,37.5166909917264,127.137712375583,192000
2023_00180,2023-12-29,삼익가든,72.55,5,1984,37.5461749875735,127.148340308921,87000
2023_00181,2023-12-29,헬리오시티,130.06,22,2018,37.4976145695004,127.102531804188,286000
2023_00182,2023-12-29,삼익그린2차,66.87,9,1983,37.5538092997685,127.147060992177,111000
2023_00183,2023-12-29,올림픽훼밀리타운,158.705,7,1988,37.488125746629,127.111059136873,223500
2023_00184,2023-12-29,신동아,81.07,5,1986,37.5538244191386,127.151914012333,130000
2023_00185,2023-12-29,올림픽훼밀리타운,84.751,14,1988,37.488125746629,127.111059136873,170000
2023_00186,2023-12-29,올림픽훼밀리타운,158.705,7,1988,37.488125746629,127.111059136873,223500
2023_00187,2023-12-29,신동아,112.93,11,1986,37.5538244191386,127.151914012333,155000
2023_00188,2023-12-29,헬리오시티,130.06,30,2018,37.4976145695004,127.102531804188,304500
2023_00189,2023-12-28,가락우성2,84.95,5,2000,37.4920155636208,127.125471424252,89000
2023_00190,2023-12-28,헬리오시티,99.6,8,2018,37.4976145695004,127.102531804188,221000
2023_00191,2023-12-28,강변그대가리버뷰,84.99,7,2007,37.5478687579557,127.122854644957,133500
2023_00192,2023-12-28,두산위브센티움,33.81,7,2004,37.5394018417027,127.1269894743,23500
2023_00193,2023-12-28,연지토성,101.24,6,2000,37.5279697102875,127.117015514458,60000
2023_00194,2023-12-28,래미안솔베뉴,78.84,6,2019,37.554378854214,127.145944201844,141000
2023_00195,2023-12-28,래미안솔베뉴,49.62,25,2019,37.554378854214,127.145944201844,99500
2023_00196,2023-12-28,파크프라자,77.41,5,2003,37.5268826423806,127.134695601656,63000
2023_00197,2023-12-28,고덕리엔파크3단지,84.96,10,2011,37.5513683747695,127.174785524346,92000
2023_00198,2023-12-28,송파더센트레,51.96,14,2013,37.4796684004455,127.139322763666,93000
2023_00199,2023-12-28,진로아파트,101.86,6,1995,37.614694452091,127.093773559363,78000
2023_00200,2023-12-28,창동주공2단지,45.9,5,1990,37.6530233936744,127.042328556896,41000
2023_00201,2023-12-28,답십리청솔우성,114.76,13,2000,37.5746094744702,127.060129124176,90000
2023_00202,2023-12-28,꿈의숲롯데캐슬,84.98,1,2017,37.6184115650264,127.036475927918,80500
2023_00203,2023-12-28,상리제나우스,12.84,4,2013,37.5623116250876,127.032853165082,12800
2023_00204,2023-12-28,성원아파트,59.94,4,1996,37.6611607169416,127.035752798854,41900
2023_00205,2023-12-28,캠퍼스드림오피스텔,16.04,10,2020,37.5886909174089,127.054575167653,19400
2023_00206,2023-12-28,브라운스톤금호,84.838,3,2007,37.547255958703,127.015755062829,129000
2023_00207,2023-12-28,엘리시아,236.07,2,2009,37.6097042483425,126.975874761938,114000
2023_00208,2023-12-28,경희궁자이(4단지),45.879,16,2017,37.5717267174551,126.961625543187,102000
2023_00209,2023-12-28,용산파크타워(24-1),140.31,17,2009,37.5237113460813,126.972351473155,310000
2023_00210,2023-12-28,부영팰리스,73.94,3,2002,37.6639954765209,127.037486302384,30000
2023_00211,2023-12-28,두산위브트레지움,84.99,10,2011,37.6182646141042,127.015683383731,84500
2023_00212,2023-12-28,월곡래미안루나밸리,59.98,4,2007,37.6002340166717,127.042651944006,75000
2023_00213,2023-12-28,길음뉴타운1단지(래미안길음1차),59.99,14,2003,37.6058494237909,127.020985165043,73000
2023_00214,2023-12-28,캠퍼스드림오피스텔,16.04,10,2020,37.5886909174089,127.054575167653,19100
2023_00215,2023-12-28,신안1,59.96,10,1999,37.6128659356467,127.081333245605,56900
2023_00216,2023-12-28,래미안장안2차,54.43,7,2007,37.5750720968253,127.074282139153,72500
2023_00217,2023-12-28,스마트트라움,16.42,4,2021,37.6501998882047,127.036111517795,16000
2023_00218,2023-12-28,래미안 옥수 리버젠,59.84,5,2012,37.5460598514009,127.013847173899,140800
2023_00219,2023-12-28,롯데캐슬,59.91,9,2008,37.5708105464699,127.021463886656,79000
2023_00220,2023-12-28,텐즈힐(1단지),148.8,4,2015,37.5691641596929,127.02634785313,186000
2023_00221,2023-12-28,텐즈힐(1단지),84.96,19,2015,37.5691641596929,127.02634785313,144500
2023_00222,2023-12-28,남산롯데캐슬아이리스,176.42,28,2011,37.5582247092319,126.981744459746,237000
2023_00223,2023-12-28,상계주공16(고층),45.77,11,1988,37.6704100337173,127.052730034287,37000
2023_00224,2023-12-28,예원(86-126),93.74,2,2004,37.6034736572433,126.929590729362,51000
2023_00225,2023-12-28,DMC롯데캐슬더퍼스트,59.96,1,2021,37.5850903459468,126.890441915048,59290
2023_00226,2023-12-28,DMC롯데캐슬더퍼스트,59.96,13,2021,37.5850903459468,126.890441915048,88500
2023_00227,2023-12-28,마곡우림필유아파트,84.528,3,2003,37.5721418718218,126.821039967906,73000
2023_00228,2023-12-28,돈의문센트레빌,59.98,9,2011,37.5659199197267,126.959289467461,108000
2023_00229,2023-12-28,태릉해링턴플레이스,59.98,14,2022,37.6257613188734,127.081597642805,72500
2023_00230,2023-12-28,태릉해링턴플레이스,59.98,15,2022,37.6257613188734,127.081597642805,75000
2023_00231,2023-12-28,상계주공14(고층),41.3,15,1989,37.6698696701205,127.058738056584,41000
2023_00232,2023-12-28,라이프,115.65,8,1993,37.6511079247726,127.079599122393,129000
2023_00233,2023-12-28,대림벽산(363),141.45,6,1993,37.6478390813696,127.078368336517,142000
2023_00234,2023-12-28,라이프,115.65,8,1993,37.6511079247726,127.079599122393,129000
2023_00235,2023-12-28,DasHaus,16.35,4,2013,37.6115633488484,126.928503751582,18000
2023_00236,2023-12-28,한신1,27.0,12,1988,37.6381251181875,127.06790995973,29000
2023_00237,2023-12-28,DasHaus,16.35,4,2013,37.6115633488484,126.928503751582,11800
2023_00238,2023-12-28,상계주공12(고층),41.3,4,1988,37.6669329820293,127.059164856551,36000
2023_00239,2023-12-28,"등촌7,8단지주공아파트",41.85,6,1994,37.5602393269472,126.851694174534,53000
2023_00240,2023-12-28,"등촌1,2단지주공아파트",41.85,15,1995,37.5653868266621,126.842256517721,50000
2023_00241,2023-12-28,등촌라인(조합),59.91,3,1997,37.5592642991118,126.855791716877,60000
2023_00242,2023-12-28,홍제원현대(459-0),84.9,7,2000,37.5883336578387,126.948807747156,89000
2023_00243,2023-12-28,스카이빌아파트,84.59,11,2002,37.5341412442888,126.868951798032,59800
2023_00244,2023-12-28,스카이빌아파트,84.59,11,2002,37.5341412442888,126.868951798032,59800
2023_00245,2023-12-28,우장산롯데캐슬,117.19,8,2003,37.5563945811198,126.849546722022,100000
2023_00246,2023-12-28,청록,70.86,3,1998,37.5946838228963,126.924429145151,30000
2023_00247,2023-12-28,상암월드컵파크9단지,84.94,8,2010,37.584799731744,126.878170672181,94500
2023_00248,2023-12-28,순영웰라이빌,84.88,12,2002,37.5165679864892,126.913539040047,71000
2023_00249,2023-12-28,무지개,53.79,4,1980,37.4566169360635,126.898301459536,49600
2023_00250,2023-12-28,신림현대,105.36,11,1993,37.4755685048005,126.932811143723,75000
2023_00251,2023-12-28,우성2,64.4,13,1986,37.4971007008112,126.91171774768,80000
2023_00252,2023-12-28,거성파스텔,59.96,5,1999,37.5314273419218,126.892011715654,85000
2023_00253,2023-12-28,삼부아그레빌,97.671,12,2003,37.5179239516477,127.064045973701,190000
2023_00254,2023-12-28,노량진맨션,57.32,5,1974,37.5077088291543,126.941716666668,109000
2023_00255,2023-12-28,신동아아파트(1차),132.1,13,1978,37.4916904995573,127.02453241416,265000
2023_00256,2023-12-28,서초1차e-편한세상,130.53,4,2004,37.4813751470729,127.006604037927,220000
2023_00257,2023-12-28,서초푸르지오써밋,84.93,12,2017,37.5013246250352,127.020126576083,251000
2023_00258,2023-12-28,반포동피카소빌,170.21,3,2004,37.4963415218759,127.000270497178,184000
2023_00259,2023-12-28,서초푸르지오써밋,74.93,27,2017,37.5013246250352,127.020126576083,240000
2023_00260,2023-12-28,래미안로이파크,84.98,25,2018,37.4877957329993,126.973472134901,148000
2023_00261,2023-12-28,마일스디오빌,36.29,10,2004,37.5138611699241,127.02897846584,36500
2023_00262,2023-12-28,롯데캐슬골드,187.65,17,2005,37.5144273491608,127.100611434725,280000
2023_00263,2023-12-28,대림역포스큐,14.579,15,2015,37.4981714698346,126.891995163467,12600
2023_00264,2023-12-28,현대연예인,74.66,3,1989,37.4932672296102,126.87786990054,60000
2023_00265,2023-12-28,현대홈타운,59.49,6,2001,37.4920422788882,126.86073736772,58000
2023_00266,2023-12-28,G밸리소홈,16.1,8,2018,37.486586968186,126.900207675003,14600
2023_00267,2023-12-28,신반포청구,84.86,1,1998,37.5144093716625,127.008135647711,187000
2023_00268,2023-12-28,롯데캐슬에듀포레,59.8718,7,2018,37.5042118646331,126.959673143176,135000
2023_00269,2023-12-28,롯데캐슬에듀포레,84.9912,10,2018,37.5042118646331,126.959673143176,153000
2023_00270,2023-12-28,영등포푸르지오,73.133,5,2002,37.5117542837524,126.902325704642,98000
2023_00271,2023-12-28,강남자곡 힐스테이트,84.39,13,2015,37.4718526866405,127.088231183221,129000
2023_00272,2023-12-28,강남자곡 힐스테이트,59.93,6,2015,37.4718526866405,127.088231183221,95000
2023_00273,2023-12-27,리센츠,84.99,29,2008,37.516733284228,127.089889095677,246000
2023_00274,2023-12-27,유원제일,51.48,1,1983,37.5303322411511,126.895795974926,79000
2023_00275,2023-12-27,성원대치2단지아파트,39.53,12,1992,37.4957518185981,127.075101271591,114000
2023_00276,2023-12-27,파크리오,84.9,8,2008,37.5213592954462,127.104971745978,194500
2023_00277,2023-12-27,반포파크빌,110.79,4,2002,37.5057265759713,126.9952705701,175000
