station_name,line,city,gu,dong,gu_dong
사당,4호선,서울특별시,동작구,사당동,동작구_사당동
총신대입구(이수),4호선,서울특별시,동작구,사당동,동작구_사당동
남성,7호선,서울특별시,동작구,사당동,동작구_사당동
이수,7호선,서울특별시,동작구,사당동,동작구_사당동
상도,7호선,서울특별시,동작구,상도1동,동작구_상도1동
숭실대입구(살피재),7호선,서울특별시,동작구,상도동,동작구_상도동
장승배기,7호선,서울특별시,동작구,상도동,동작구_상도동
보라매공원,신림선,서울특별시,동작구,신대방동,동작구_신대방동
보라매병원,신림선,서울특별시,동작구,신대방동,동작구_신대방동
흑석(중앙대입구),9호선,서울특별시,동작구,흑석동,동작구_흑석동
공덕,5호선,서울특별시,마포구,공덕동,마포구_공덕동
공덕,6호선,서울특별시,마포구,공덕동,마포구_공덕동
서강대,경의중앙선,서울특별시,마포구,노고산동,마포구_노고산동
이대,2호선,서울특별시,마포구,대흥동,마포구_대흥동
대흥(서강대앞),6호선,서울특별시,마포구,대흥동,마포구_대흥동
마포,5호선,서울특별시,마포구,도화동,마포구_도화동
공덕,경의중앙선,서울특별시,마포구,도화동,마포구_도화동
공덕,경의중앙선,서울특별시,마포구,도화동,마포구_도화동
공덕,공항철도1호선,서울특별시,마포구,도화동,마포구_도화동
홍대입구,2호선,서울특별시,마포구,동교동,마포구_동교동
홍대입구,경의중앙선,서울특별시,마포구,동교동,마포구_동교동
홍대입구,경의중앙선,서울특별시,마포구,동교동,마포구_동교동
홍대입구,공항철도1호선,서울특별시,마포구,동교동,마포구_동교동
상수,6호선,서울특별시,마포구,상수동,마포구_상수동
디지털미디어시티,6호선,서울특별시,마포구,상암동,마포구_상암동
디지털미디어시티,공항철도1호선,서울특별시,마포구,상암동,마포구_상암동
망원,6호선,서울특별시,마포구,서교동,마포구_서교동
마포구청,6호선,서울특별시,마포구,성산동,마포구_성산동
월드컵경기장(성산),6호선,서울특별시,마포구,성산동,마포구_성산동
아현,2호선,서울특별시,마포구,아현동,마포구_아현동
애오개,5호선,서울특별시,마포구,아현동,마포구_아현동
광흥창(서강),6호선,서울특별시,마포구,창전동,마포구_창전동
합정,2호선,서울특별시,마포구,합정동,마포구_합정동
합정,6호선,서울특별시,마포구,합정동,마포구_합정동
가좌,경의중앙선,서울특별시,서대문구,남가좌동,서대문구_남가좌동
신촌,경의중앙선,서울특별시,서대문구,신촌동,서대문구_신촌동
신촌,2호선,서울특별시,서대문구,창천동,서대문구_창천동
서대문,5호선,서울특별시,서대문구,충정로2가,서대문구_충정로2가
충정로(경기대입구),2호선,서울특별시,서대문구,충정로3가,서대문구_충정로3가
충정로(경기대입구),5호선,서울특별시,서대문구,충정로3가,서대문구_충정로3가
독립문,3호선,서울특별시,서대문구,현저동,서대문구_현저동
무악재,3호선,서울특별시,서대문구,홍제동,서대문구_홍제동
홍제,3호선,서울특별시,서대문구,홍제동,서대문구_홍제동
고속터미널,3호선,서울특별시,서초구,반포동,서초구_반포동
고속터미널,7호선,서울특별시,서초구,반포동,서초구_반포동
반포,7호선,서울특별시,서초구,반포동,서초구_반포동
고속터미널,9호선,서울특별시,서초구,반포동,서초구_반포동
