NO,latitude,longitude,address
2022_00372,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00373,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00374,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00375,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00376,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00377,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00378,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00379,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00380,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00381,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00382,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00383,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00384,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00385,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00386,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
2022_00387,37.64217922,127.0254937,서울특별시 강북구 한천로148길 12-13
