"자치구","경제활동별","구분","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"은평구","교육서비스업","중간소비(②)","항목","","203863.3494","213928.6769","218786.0973","206990.0149","214552.1053","206543","210348","190852.757512","196029",
"은평구","교육서비스업","지역내 총부가가치(③=①-②)","항목","","420074.4882","420913.3608","416990.8295","426385.8462","438648.2542","445574","464884","487037.880051","492085",
"은평구","교육서비스업","고정자본소모(④)","항목","","52226.79217","52487.48645","53792.56136","54359.87501","55814.80571","57776","61436","68072.540066","71117",
"은평구","교육서비스업","순기타 생산세(⑤)","항목","","879.7776517","838.6846622","750.50441","566.8932006","576.1638464","471","717","496.936128","645",
"은평구","교육서비스업","지역내 요소소득(⑥=③-④-⑤)","항목","","366967.9183","367587.1897","362447.7637","371459.078","382257.2846","387326","402731","418468.403857","420323",
"은평구","교육서비스업","산출액(2015년 기준년 연쇄가격)","항목","","648488.1561","647382.192","635776.9268","624105.8452","633188.3448","621995","632247","631619.855942","633615",
"은평구","교육서비스업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","445025.3855","431631.9132","416990.8295","420598.0649","424969.2408","425215","433478","450922.57184","452551",
"은평구","보건업 및 사회복지서비스업","산출액(①)","항목","","657885.9177","779956.5712","836562.4591","906544.8349","970496.4879","1068863","1286454","1324435.190512","1384380",
"은평구","보건업 및 사회복지서비스업","중간소비(②)","항목","","301526.1778","389034.6182","416177.6933","447119.5894","491824.3311","544963","658703","671677.692228","696117",
"은평구","보건업 및 사회복지서비스업","지역내 총부가가치(③=①-②)","항목","","356359.7398","390921.953","420384.7657","459425.2455","478672.1568","523900","627751","652757.498284","688263",
"은평구","보건업 및 사회복지서비스업","고정자본소모(④)","항목","","36448.73578","38527.8406","40399.88626","46325.23827","46558.21625","51964","60263","64085.449286","68065",
"은평구","보건업 및 사회복지서비스업","순기타 생산세(⑤)","항목","","522.0484238","523.0282631","797.8523843","661.2656533","698.2348645","383","628","434.573573","417",
"은평구","보건업 및 사회복지서비스업","지역내 요소소득(⑥=③-④-⑤)","항목","","319388.9556","351871.0841","379187.0271","412438.7416","431415.7057","471554","566861","588237.475424","619781",
"은평구","보건업 및 사회복지서비스업","산출액(2015년 기준년 연쇄가격)","항목","","682061.1388","794321.0594","836562.4591","891941.3665","938100.188","1021202","1220458","1241083.167985","1286775",
"은평구","보건업 및 사회복지서비스업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","371365.4172","400706.6067","420384.7657","451640.0521","459011.6392","496854","592078","601277.79261","631447",
"은평구","문화 및 기타 서비스업","산출액(①)","항목","","361167.5819","388829.498","391427.0837","405983.7868","406796.0455","421214","432905","414138.065983","429386",
"은평구","문화 및 기타 서비스업","중간소비(②)","항목","","179577.7559","193064.8409","201943.5102","203750.3256","205922.5789","214663","217543","212012.258092","218440",
"은평구","문화 및 기타 서비스업","지역내 총부가가치(③=①-②)","항목","","181589.8259","195764.6571","189483.5735","202233.4612","200873.4666","206551","215362","202125.807892","210945",
"은평구","문화 및 기타 서비스업","고정자본소모(④)","항목","","26958.56923","28330.01101","28476.84115","31587.04996","32199.84299","33942","36187","37305.478672","41799",
"은평구","문화 및 기타 서비스업","순기타 생산세(⑤)","항목","","2010.82812","1962.329756","1489.89736","1737.766624","1648.946018","1506","4238","2246.956675","2627",
"은평구","문화 및 기타 서비스업","지역내 요소소득(⑥=③-④-⑤)","항목","","152620.4286","165472.3163","159516.835","168908.6446","167024.6776","171103","174938","162573.372545","166520",
"은평구","문화 및 기타 서비스업","산출액(2015년 기준년 연쇄가격)","항목","","379268.347","398989.513","391427.0837","398806.4226","392599.2553","394849","399519","377719.280358","381944",
"은평구","문화 및 기타 서비스업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","194766.4743","203071.2917","189483.5735","195725.3766","189607.8759","186324","189347","174517.382101","178549",
"서대문구","총부가가치(기초가격)","산출액(①)","항목","","12992927.88","13239095.1","13600139.96","14105845.94","14808483.88","15184555","16011308","15318001.003728","15938956",
"서대문구","총부가가치(기초가격)","중간소비(②)","항목","","6370266.544","6541094.1","6627510.202","6811510.233","7219086.899","7471627","8009741","7460517.043598","7701882",
"서대문구","총부가가치(기초가격)","지역내 총부가가치(③=①-②)","항목","","6622661.333","6698001.001","6972629.762","7294335.707","7589396.986","7712929","8001568","7857483.96013","8237074",
"서대문구","총부가가치(기초가격)","고정자본소모(④)","항목","","966547.4328","958343.9738","1017626.338","1086711.634","1179075.852","1185217","1240654","1277519.652667","1405189",
"서대문구","총부가가치(기초가격)","순기타 생산세(⑤)","항목","","107622.6342","110236.2471","113065.8042","111924.4988","133821.17","129658","177918","181045.53921","251652",
"서대문구","총부가가치(기초가격)","지역내 요소소득(⑥=③-④-⑤)","항목","","5548491.266","5629420.78","5841937.619","6095699.574","6276499.964","6398053","6582996","6398918.768253","6580233",
"서대문구","총부가가치(기초가격)","산출액(2015년 기준년 연쇄가격)","항목","","13316842.08","13405333.04","13600139.96","13917126.44","14351180.73","14520910","15165432","14416490.530109","14685926",
"서대문구","총부가가치(기초가격)","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","6978041.422","6934933.316","6972629.762","7133696.512","7277808.641","7317903","7503413","7254906.164518","7535875",
"서대문구","농·림·어업","산출액(①)","항목","","241791.8328","239144.5773","189847.8879","190463.3539","201617.9256","229121","217737","159067.356902","175188",
"서대문구","농·림·어업","중간소비(②)","항목","","145698.1994","148676.7138","105379.0508","114740.8632","120281.0099","142327","140907","96470.899145","117939",
"서대문구","농·림·어업","지역내 총부가가치(③=①-②)","항목","","96093.63343","90467.86353","84468.83703","75722.49069","81336.91572","86794","76830","62596.457757","57248",
"서대문구","농·림·어업","고정자본소모(④)","항목","","16901.4737","15986.52929","15760.10683","13817.81521","12625.73639","15233","14591","10437.810678","10290",
"서대문구","농·림·어업","순기타 생산세(⑤)","항목","","2357.805306","1817.645835","1401.458777","-114.2114283","-1750.889314","652","3648","161.201066","-438",
"서대문구","농·림·어업","지역내 요소소득(⑥=③-④-⑤)","항목","","76834.35442","72663.6884","67307.27142","62018.88691","70462.06864","70910","58592","51997.446012","47396",
"서대문구","농·림·어업","산출액(2015년 기준년 연쇄가격)","항목","","229735.2666","238839.0692","189847.8879","174743.3512","174238.0627","201009","199406","142324.608174","159741",
"서대문구","농·림·어업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","117977.1447","122830.4757","84468.83703","81388.54932","84841.81184","99193","90912","63151.269204","71511",
"서대문구","광업","산출액(①)","항목","","","","","","","","","-","-",
"서대문구","광업","중간소비(②)","항목","","","","","","","","","-","-",
"서대문구","광업","지역내 총부가가치(③=①-②)","항목","","","","","","","","","-","-",
"서대문구","광업","고정자본소모(④)","항목","","","","","","","","","-","-",
"서대문구","광업","순기타 생산세(⑤)","항목","","","","","","","","","-","-",
"서대문구","광업","지역내 요소소득(⑥=③-④-⑤)","항목","","","","","","","","","-","-",
"서대문구","광업","산출액(2015년 기준년 연쇄가격)","항목","","","","","","","","","-","-",
"서대문구","광업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","","","","","","","","-","-",
"서대문구","제조업","산출액(①)","항목","","329520.4985","391601.4839","246259.8504","365274.9011","360146.8882","355722","322793","321157.075909","327143",
"서대문구","제조업","중간소비(②)","항목","","256144.946","297148.7879","182632.4965","270882.8724","267542.7099","265925","242183","235336.63007","245540",
"서대문구","제조업","지역내 총부가가치(③=①-②)","항목","","73375.55252","94452.69604","63627.35389","94392.02872","92604.17826","89797","80610","85820.445839","81604",
"서대문구","제조업","고정자본소모(④)","항목","","12429.9633","15773.20316","10013.10886","17551.7604","18494.9849","18415","18693","22263.979251","22532",
"서대문구","제조업","순기타 생산세(⑤)","항목","","1522.712209","2248.654948","918.6032466","1673.003185","1794.828649","1106","1163","1287.480492","1579",
"서대문구","제조업","지역내 요소소득(⑥=③-④-⑤)","항목","","59422.87701","76430.83792","52695.64178","75167.26513","72314.36471","70276","60753","62268.986096","57492",
"서대문구","제조업","산출액(2015년 기준년 연쇄가격)","항목","","331119.0281","395036.0048","246259.8504","369039.5672","359428.1247","354361","324047","325609.224792","320081",
"서대문구","제조업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","74589.83751","96023.15093","63627.35389","90441.74228","88481.52565","83546","77105","81932.807786","80846",
"서대문구","전기, 가스, 증기 및 공기조절 공급업","산출액(①)","항목","","296159.9607","300789.1612","250156.8527","222804.4396","225073.3276","231633","241298","243038.161433","270541",
"서대문구","전기, 가스, 증기 및 공기조절 공급업","중간소비(②)","항목","","251444.4144","252298.7302","201015.0642","168331.3254","177697.8868","194332","201974","187943.485908","225331",
"서대문구","전기, 가스, 증기 및 공기조절 공급업","지역내 총부가가치(③=①-②)","항목","","44715.54637","48490.43102","49141.78854","54473.11417","47375.44085","37301","39323","55094.675526","45210",
"서대문구","전기, 가스, 증기 및 공기조절 공급업","고정자본소모(④)","항목","","21302.29561","21425.56406","20117.21737","26109.88954","25300.7139","23465","25076","24330.529202","31672",
"서대문구","전기, 가스, 증기 및 공기조절 공급업","순기타 생산세(⑤)","항목","","3379.574263","1139.905675","485.4117654","475.744966","450.3738669","411","1277","513.302287","490",
"서대문구","전기, 가스, 증기 및 공기조절 공급업","지역내 요소소득(⑥=③-④-⑤)","항목","","20033.6765","25924.96128","28539.15941","27887.47966","21624.35309","13425","12970","30250.844037","13048",
"서대문구","전기, 가스, 증기 및 공기조절 공급업","산출액(2015년 기준년 연쇄가격)","항목","","260554.461","247370.5082","250156.8527","258910.8921","256799.8554","256045","263350","281471.197198","301286",
"서대문구","전기, 가스, 증기 및 공기조절 공급업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","67995.67647","49656.198","49141.78854","54741.04086","56413.10482","59302","70636","80707.713039","84554",
"서대문구","건설업","산출액(①)","항목","","807269.3177","982635.4905","860036.391","809926.8373","599688.9453","948546","894552","935829.104615","976984",
"서대문구","건설업","중간소비(②)","항목","","525301.347","636340.1546","539879.6929","499760.9451","370615.3827","573267","539697","561968.909056","601599",
"서대문구","건설업","지역내 총부가가치(③=①-②)","항목","","281967.9707","346295.3358","320156.6981","310165.8922","229073.5626","375279","354855","373860.195559","375385",
"서대문구","건설업","고정자본소모(④)","항목","","18134.99499","20638.39945","17455.48029","15182.42863","9980.252018","16737","16531","18203.555838","18617",
"서대문구","건설업","순기타 생산세(⑤)","항목","","3375.809916","3999.926993","3199.250666","3118.78452","2104.140229","2518","3643","3722.335978","4303",
"서대문구","건설업","지역내 요소소득(⑥=③-④-⑤)","항목","","260457.1657","321657.0094","299501.9672","291864.6791","216989.1704","356024","334680","351934.303743","352465",
"서대문구","건설업","산출액(2015년 기준년 연쇄가격)","항목","","826293.9481","993404.8187","860036.391","807045.8641","580732.3693","887302","816091","847100.542647","821270",
"서대문구","건설업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","308840.5767","365685.3335","320156.6981","302545.4413","215858.0823","336730","302558","311699.047044","303107",
"서대문구","도매 및 소매업","산출액(①)","항목","","1300893.626","1309581.434","1351712.475","1450367.771","1537010.294","1475644","1463235","1463349.398547","1553526",
